b2 bh7 fh4 ch1 y1 s2,121,129,221,122,104,156,140,121,101,111,107,128,100,214,109,124,201,108,101,112
b2 bh7 fh4 ch1 y1 s2,121,129,221,122,104,156,140,121,101,111,107,98,100,214,109,124,201,108,101,112
b2 bh7 fh4 ch1 y1 s2,121,129,221,122,104,156,140,121,101,145,107,98,100,135,109,99,200,108,121,112
b2 bh7 fh4 ch1 y1 s2,121,156,221,122,104,90,91,201,149,110,103,98,100,114,132,96,126,108,121,112
b2 bh7 fh4 ch1 y1 s2,121,126,221,122,104,181,121,197,149,110,99,83,100,114,103,96,126,103,81,112
b2 bh7 fh4 ch1 y1 s2,121,126,221,122,104,181,116,197,149,110,103,83,100,114,103,96,126,103,121,112
b2 bh7 fh4 ch1 y1 s2,126,129,161,122,104,156,182,121,101,102,82,73,126,106,109,124,153,125,127,61
b2 bh7 fh4 ch1 y1 s2,160,106,151,123,141,140,103,183,128,106,107,164,104,127,151,121,103,108,101,83
b2 bh7 fh4 ch1 y1 s2,111,106,145,96,101,141,89,194,142,106,107,71,104,161,101,133,102,131,116,61
b2 bh7 fh4 ch1 y1 s2,116,141,98,122,107,141,140,186,87,143,121,164,140,126,101,86,101,108,106,108
b2 bh7 fh4 ch1 y1 s2,153,174,206,153,82,129,87,161,106,106,127,101,156,151,68,96,156,91,136,65
b2 bh7 fh4 ch1 y1 s2,153,174,206,153,82,129,87,161,106,106,127,101,156,151,68,96,156,91,136,65
b20 bh70 fh40 ch1 y10 s20,123,109,186,154,77,126,91,157,92,97,121,141,151,136,99,195,116,152,121,126
