d4_h1_y1_b1,138.036,265.143
d4_h1_y1_b2,134.893,274.321
d4_h1_y1_b5,134.643,288.500
d4_h1_y1_b3,139.500,283.607
d4_h1_y1_b4,136.321,286.893
d4_h1_y2_b2,133.250,275.714
d4_h1_y2_b5,133.714,287.786
d4_h1_y2_b3,136.214,288.429
d4_h1_y2_b1,143.857,286.821
d4_h1_y2_b4,139.643,293.107
d4_h1_y3_b1,134.714,274.929
d4_h1_y3_b4,134.643,287.821
d4_h1_y3_b3,136.321,290.786
d4_h1_y3_b5,137.500,296.393
d4_h1_y3_b2,137.821,291.536
d4_h1_y4_b3,140.750,292.536
d4_h1_y4_b1,135.714,280.964
d4_h1_y4_b4,135.000,291.000
d4_h1_y4_b2,136.321,284.464
d4_h1_y4_b5,136.464,293.250
d4_h1_y5_b1,132.036,274.571
d4_h1_y5_b2,133.429,277.857
d4_h1_y5_b3,134.250,281.179
d4_h1_y5_b4,135.750,285.143
d4_h1_y5_b5,138.607,294.571
d4_h2_y1_b1,106.643,213.643
d4_h2_y1_b2,127.679,256.964
d4_h2_y1_b4,129.393,269.214
d4_h2_y1_b5,129.500,278.179
d4_h2_y1_b3,139.571,283.250
d4_h2_y2_b3,131.714,279.500
d4_h2_y2_b1,136.393,275.107
d4_h2_y2_b2,131.929,271.393
d4_h2_y2_b4,139.607,290.929
d4_h2_y2_b5,139.536,299.107
d4_h2_y3_b1,129.214,261.107
d4_h2_y3_b2,131.000,273.357
d4_h2_y3_b5,133.643,285.143
d4_h2_y3_b3,138.107,287.464
d4_h2_y3_b4,137.714,292.821
d4_h2_y4_b2,121.679,255.464
d4_h2_y4_b1,127.643,266.214
d4_h2_y4_b4,132.821,281.071
d4_h2_y4_b3,133.250,280.679
d4_h2_y4_b5,132.286,286.179
d4_h2_y5_b1,120.107,250.179
d4_h2_y5_b3,121.607,264.286
d4_h2_y5_b2,130.357,273.893
d4_h2_y5_b5,133.714,283.750
d4_h2_y5_b4,127.357,270.750
d4_h3_y1_b1,92.714,187.500
d4_h3_y1_b2,98.893,207.643
d4_h3_y1_b3,105.107,222.429
d4_h3_y1_b4,120.321,247.571
d4_h3_y1_b5,118.250,251.036
d4_h3_y2_b1,120.107,239.500
d4_h3_y2_b2,124.536,257.214
d4_h3_y2_b3,125.500,260.857
d4_h3_y2_b4,127.393,268.107
d4_h3_y2_b5,131.500,282.679
d4_h3_y3_b2,110.607,234.214
d4_h3_y3_b1,121.679,247.321
d4_h3_y3_b4,127.357,271.536
d4_h3_y3_b3,132.286,275.107
d4_h3_y3_b5,135.429,289.679
d4_h3_y4_b1,114.107,234.714
d4_h3_y4_b2,116.071,250.750
d4_h3_y4_b3,125.071,264.750
d4_h3_y4_b4,121.607,264.750
d4_h3_y4_b5,122.750,267.536
d4_h3_y5_b2,113.929,242.893
d4_h3_y5_b1,110.786,235.857
d4_h3_y5_b3,114.393,248.179
d4_h3_y5_b5,119.393,257.679
d4_h3_y5_b4,128.071,270.607
d4_h4_y1_b1,48.679,112.036
d4_h4_y1_b2,64.393,144.964
d4_h4_y1_b3,78.500,171.679
d4_h4_y1_b4,78.929,175.179
d4_h4_y1_b5,93.786,201.107
d4_h4_y2_b1,91.071,190.714
d4_h4_y2_b2,94.500,203.821
d4_h4_y2_b4,109.643,235.143
d4_h4_y2_b5,111.500,238.250
